body,topic,edition_year,pub_date,pdf_path,status,parse_mode,notes
esc,heart_failure,2012,2012-05-19,data/guidelines/esc/esc_hf_2012.pdf,needed,manual,
esc,heart_failure,2016,2016-05-20,data/guidelines/esc/esc_hf_2016.pdf,needed,manual,
esc,heart_failure,2021,2021-08-27,data/guidelines/esc/esc_hf_2021.pdf,needed,manual,
esc,heart_failure,2023,2023-08-25,data/guidelines/esc/esc_hf_2023_focused.pdf,needed,manual,
esc,chronic_coronary_syndromes,2019,2019-08-31,data/guidelines/esc/esc_ccs_2019.pdf,needed,manual,
esc,chronic_coronary_syndromes,2024,2024-08-30,data/guidelines/esc/esc_ccs_2024.pdf,needed,manual,
esc,dyslipidaemia,2016,2016-08-27,data/guidelines/esc/esc_dyslip_2016.pdf,needed,manual,
esc,dyslipidaemia,2019,2019-08-31,data/guidelines/esc/esc_dyslip_2019.pdf,needed,manual,
esc,atrial_fibrillation,2010,2010-08-29,data/guidelines/esc/esc_af_2010.pdf,needed,manual,
esc,atrial_fibrillation,2016,2016-08-27,data/guidelines/esc/esc_af_2016.pdf,needed,manual,
esc,atrial_fibrillation,2020,2020-08-29,data/guidelines/esc/esc_af_2020.pdf,needed,manual,
esc,atrial_fibrillation,2024,2024-08-30,data/guidelines/esc/esc_af_2024.pdf,needed,manual,
acc_aha,heart_failure,2013,2013-06-05,data/guidelines/acc_aha/accaha_hf_2013.pdf,needed,manual,
acc_aha,heart_failure,2017,2017-04-28,data/guidelines/acc_aha/accaha_hf_2017_focused.pdf,needed,manual,
acc_aha,heart_failure,2022,2022-04-01,data/guidelines/acc_aha/accaha_hf_2022.pdf,needed,manual,
acc_aha,cholesterol,2013,2013-11-12,data/guidelines/acc_aha/accaha_chol_2013.pdf,needed,manual,
acc_aha,cholesterol,2018,2018-11-10,data/guidelines/acc_aha/accaha_chol_2018.pdf,needed,manual,
acc_aha,chronic_coronary_disease,2023,2023-07-20,data/guidelines/acc_aha/accaha_ccd_2023.pdf,needed,manual,
acc_aha,atrial_fibrillation,2014,2014-03-28,data/guidelines/acc_aha/accaha_af_2014.pdf,needed,manual,
acc_aha,atrial_fibrillation,2019,2019-01-28,data/guidelines/acc_aha/accaha_af_2019_focused.pdf,needed,manual,
acc_aha,atrial_fibrillation,2023,2023-11-30,data/guidelines/acc_aha/accaha_af_2023.pdf,needed,manual,
nice,chronic_heart_failure,2010,2010-08-25,data/guidelines/nice/nice_cg108_2010.pdf,needed,manual,
nice,chronic_heart_failure,2018,2018-09-12,data/guidelines/nice/nice_ng106_2018.pdf,needed,manual,
nice,chronic_heart_failure,2023,2023-11-15,data/guidelines/nice/nice_ng106_2023_update.pdf,needed,manual,
nice,acute_coronary_syndromes,2020,2020-11-18,data/guidelines/nice/nice_ng185_2020.pdf,needed,manual,
nice,hypercholesterolaemia,2014,2014-07-23,data/guidelines/nice/nice_cg181_2014.pdf,needed,manual,
nice,hypercholesterolaemia,2023,2023-12-14,data/guidelines/nice/nice_cg181_2023.pdf,needed,manual,
nice,atrial_fibrillation,2014,2014-06-18,data/guidelines/nice/nice_cg180_2014.pdf,needed,manual,
nice,atrial_fibrillation,2021,2021-04-27,data/guidelines/nice/nice_ng196_2021.pdf,needed,manual,
ccs,heart_failure,2017,2017-11-01,data/guidelines/ccs/ccs_hf_2017.pdf,needed,manual,
ccs,heart_failure,2021,2021-05-01,data/guidelines/ccs/ccs_hf_2021.pdf,needed,manual,
ccs,heart_failure,2023,2023-06-01,data/guidelines/ccs/ccs_hf_2023.pdf,needed,manual,
ccs,dyslipidemia,2016,2016-11-01,data/guidelines/ccs/ccs_dyslip_2016.pdf,needed,manual,
ccs,dyslipidemia,2021,2021-11-01,data/guidelines/ccs/ccs_dyslip_2021.pdf,needed,manual,
ccs,antithrombotic,2018,2018-01-01,data/guidelines/ccs/ccs_antithrombotic_2018.pdf,needed,manual,
ccs,atrial_fibrillation,2020,2020-10-01,data/guidelines/ccs/ccs_af_2020.pdf,needed,manual,
